156	medium	npm	fast-xml-parser	5.7.0	ci/reporter/package.json	GHSA-gh4j-gqv2-49f6
241	high	go	google.golang.org/grpc	1.82.1	docs/research/go-elder-plinius-v3/go-elder-plinius/go-plinius-common/go.mod	GHSA-hrxh-6v49-42gf
227	medium	go	golang.org/x/net	0.55.0	docs/research/go-elder-plinius-v3/go-elder-plinius/go-plinius-common/go.mod	GHSA-5cv4-jp36-h3mw
172	high	go	github.com/docker/docker	NO_FIX	go.mod	GHSA-x86f-5xw2-fm2r
174	high	go	github.com/docker/docker	NO_FIX	go.mod	GHSA-rg2x-37c3-w2rh
6	high	go	github.com/docker/docker	29.3.1	go.mod	GHSA-x744-4wpc-v9h2
173	medium	go	github.com/docker/docker	NO_FIX	go.mod	GHSA-vp62-88p7-qqf5
5	medium	go	github.com/docker/docker	NO_FIX	go.mod	GHSA-pxq6-2prw-chj9
200	critical	npm	vitest	3.2.6	mcp-servers/GitMCP/package.json	GHSA-5xrq-8626-4rwp
13	low	npm	ai	5.0.52	mcp-servers/GitMCP/package.json	GHSA-rwvc-j5jr-mgvh
10	medium	npm	@cloudflare/workers-oauth-provider	0.0.5	mcp-servers/GitMCP/package.json	GHSA-4pc9-x2fx-p7vj
11	medium	npm	@cloudflare/workers-oauth-provider	0.0.5	mcp-servers/GitMCP/package.json	GHSA-qgp8-v765-qxx9
12	medium	npm	@cloudflare/vite-plugin	1.6.0	mcp-servers/GitMCP/package.json	GHSA-4pfg-2mw5-f8jx
14	medium	npm	agents	0.3.7	mcp-servers/GitMCP/package.json	GHSA-r7x9-8ph7-w8cg
15	medium	npm	agents	0.3.10	mcp-servers/GitMCP/package.json	GHSA-cvhv-6xm6-c3v4
16	medium	npm	agents	0.3.10	mcp-servers/GitMCP/package.json	GHSA-w5cr-2qhr-jqc5
201	critical	npm	vitest	3.2.6	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-5xrq-8626-4rwp
24	critical	npm	form-data	4.0.4	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-fjxv-7rqg-78g4
46	critical	npm	@react-router/node	7.9.4	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-9583-h5hc-x8cw
182	high	npm	tmp	0.2.6	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-ph9p-34f9-6g65
190	high	npm	@remix-run/server-runtime	2.17.5	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-8x6r-g9mw-2r78
192	high	npm	react-router	7.14.2	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-49rj-9fvp-4h2h
193	high	npm	react-router	7.15.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-8x6r-g9mw-2r78
194	high	npm	turbo-stream	3.0.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-rxv8-25v2-qmq8
196	high	npm	react-router	7.14.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-rxv8-25v2-qmq8
206	high	npm	ws	8.21.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-96hv-2xvq-fx4p
208	high	npm	vite	6.4.3	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-fx2h-pf6j-xcff
210	high	npm	form-data	4.0.6	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-hmw2-7cc7-3qxx
213	high	npm	hono	4.12.25	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-88fw-hqm2-52qc
217	high	npm	undici	6.27.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-vxpw-j846-p89q
225	high	npm	linkify-it	5.0.1	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-22p9-wv53-3rq4
236	high	npm	linkify-it	5.0.2	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-v245-v573-v5vm
243	high	npm	sharp	0.35.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-f88m-g3jw-g9cj
247	high	npm	react-router	7.18.0	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-chx6-hx7r-mcp5
253	high	npm	@modelcontextprotocol/sdk	1.25.2	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-8r9q-7v3j-jr4g
254	high	npm	brace-expansion	2.1.2	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-3jxr-9vmj-r5cp
255	high	npm	postcss	8.5.12	mcp-servers/GitMCP/pnpm-lock.yaml	GHSA-6g55-p6wh-862q
